product_id,product_name,price,vendor,product_type,tags,availability,number_of_variants,image_url,product_url
1072195291,Giày Thể Thao Biti's Hunter Nam Màu Xám Đậm HSM008300XAD,925000,HUNTER,Giày Thể Thao,"kho:online,Huntersneakernam,Hunter,Huntersneaker,newhunter,NAM,khongdoitra,Giày nam,Giày,Hunter Nam,Giày Hunter,Giày dép nam,Giày dép Hunter",Available,7,https://cdn.hstatic.net/products/1000230642/hsm008300xad__8__1472f85de3154e15bee35589a239cb77.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-nam-mau-xam-dam-hsm008300xad
1072191610,Giày Thể Thao Biti's Hunter Tennis Nam Màu Xanh Lá Đậm HSM011600XLD,930000,HUNTER,Giày Tennis,"kho:online,HunterSneaker,Hunter,Huntertennisnam,HunterSneakernam,newhunter,NAM,Giày nam,Giày,Giày dép nam,Giày dép Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsm011600xld__7__d90e4fe749474696a4980e346ef32a85.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-tennis-nam-mau-xanh-la-dam-hsm011600xld
1072191595,Giày Thể Thao Biti's Hunter Tennis Nam Màu Xanh Dương HSM011600XDG,930000,HUNTER,Giày Tennis,"HunterSneakernam,Huntertennisnam,newhunter,kho:online,Hunter,HunterSneaker,NAM,Giày nam,Giày,Giày dép nam,Giày dép Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsm011600xdg__7__6ff123c10e23423aa5a2e885ea0d8677.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-tennis-nam-mau-xanh-duong-hsm011600xdg
1072191385,Giày Thể Thao Biti's Hunter Nam Màu Xám Đậm HSM012800XAD,840000,HUNTER,Giày Thể Thao,"BST New,HunterSneakernam,kho:online,newhunter,HunterSneaker,Hunter,NAM,Giày nam,Giày,Hunter Nam,Giày Hunter,Giày dép nam,Giày dép Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsm012800xad__7__a3a456681ea84f639eeba1e65b8d3993.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-nam-mau-xam-dam-hsm012800xad
1072188590,Giày Thể Thao Biti's Hunter Nữ Jogging Màu Kem HSW012300KEM,700000,HUNTER,Giày Thể Thao,"newhunter,kho:online,Hunter,Hunterjoggingnu,Huntersneakernu,Huntersneaker,HunterSneakernam,NỮ,Giày nữ,Giày,Giày Hunter,Giày dép nữ,Giày dép Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsw012300kem__7__f71398807aca4b88aea5f3ec7db6477c.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-nu-jogging-mau-kem-hsw012300kem
1072188435,Giày Thể Thao Biti's Hunter Nữ Jogging Màu Hồng HSW012300HOG,700000,HUNTER,Giày Thể Thao,"Hunterjoggingnu,kho:online,Hunter,Huntersneaker,Huntersneakernu,NỮ,Giày nữ,Giày,Giày Hunter,Giày dép nữ,Giày dép Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsw012300hog__7__a52443dccd824ce196e9e38d535878b9.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-nu-jogging-mau-hong-hsw012300hog
1072187236,Giày Thể Thao Biti's Hunter Jogging Nữ Màu Đen HSW012300DEN,700000,HUNTER,Giày Thể Thao,"Hunter,kho:online,Hunterjoggingnu,Huntersneaker,Huntersneakernu,NỮ,Giày nữ,Giày,Giày Hunter,Giày dép nữ,Giày dép Hunter",Available,6,https://cdn.hstatic.net/products/1000230642/hsw012300den__6__0af92e057e8e4c79a651fa5188ddb332.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-hunter-jogging-nu-mau-den-hsw012300den
1072186634,Dép Xốp Biti's Nữ Màu Nâu BXW022000NAU,172000,Biti's,Dép Thông Dụng,"kho:online,NỮ,khongdoitra,Depnu,Dép nữ,Dép,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/bxw022000nau__3__9c64c5569f40464aa41cd38b8371d55a.jpg,https://bitis.com.vn/products/dep-xop-biti-s-nu-mau-nau-bxw022000nau
1072186371,Dép Xốp Biti's Nữ Màu Đỏ BXW022000DOO,172000,Biti's,Dép Thông Dụng,"kho:online,NỮ,khongdoitra,Depnu,Dép nữ,Dép,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/bxw022000doo__3__00641757a04241ac99c27a19511dbe76.jpg,https://bitis.com.vn/products/dep-xop-biti-s-nu-mau-do-bxw022000doo
1072186242,Dép Xốp Biti's Nữ Màu Đen BXW022000DEN,172000,Biti's,Dép Thông Dụng,"kho:online,NỮ,khongdoitra,Depnu,Dép nữ,Dép,Giày dép nữ",Available,5,https://cdn.hstatic.net/products/1000230642/bxw022000den__3__373c497dc55a4d5d9f3eeab3ab77b363.jpg,https://bitis.com.vn/products/dep-xop-biti-s-nu-mau-den-bxw022000den
1072183541,Giày Thể Thao Biti's Bé Gái Màu Xanh Dương Lợt BSG009000XDL,495000,Biti's,Giày Thể Thao,"kho:online,new,TRẺ EM,Giày dép,Giày trẻ em,Giày,BÉ GÁI,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/bsg009000xdl__3__ae597ac8725a4e27a6d6af247d862eca.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-be-gai-mau-xanh-duong-lot-bsg009000xdl
1072183448,Giày Thể Thao Biti's Bé Gái Màu Hồng Lợt BSG009000HOL,495000,Biti's,Giày Thể Thao,"new,kho:online,TRẺ EM,Giày dép,Giày trẻ em,Giày,BÉ GÁI,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/bsg009000hol__2__ed4057e934ac479184b545eb9c6899c1.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-be-gai-mau-hong-lot-bsg009000hol
1072181786,Giày Thể Thao Biti's Trẻ Em Màu Xanh Dương BSB009000XDG,495000,Biti's,Giày Thể Thao,"kho:online,TRẺ EM,BÉ TRAI,Giày trẻ em,Giày,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/bsb009000xdg__3__4ab98a05d0124856b145cb3049f50386.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-tre-em-mau-xanh-duong-bsb009000xdg
1072073256,Giày Thể Thao Biti's Trẻ Em Màu Kem BSB009000KEM,495000,Biti's,Giày Thể Thao,"kho:online,Giày trẻ em,TRẺ EM,Giày,BÉ TRAI,Giày dép trẻ em",Available,9,https://cdn.hstatic.net/products/1000230642/bsb009000kem__3__67cd2644e06440539801740e315293c0.jpg,https://bitis.com.vn/products/giay-the-thao-biti-s-tre-em-mau-kem-bsb009000kem
1072048832,Sandal Biti's GLOWY Collection Nữ Màu Trắng BPW008188TRG,640000,Biti's,Sandal Thông Dụng,"kho:online,GLOWY,NỮ,Sandalnu,Giày dép nữ",Available,6,https://cdn.hstatic.net/products/1000230642/bpw008188trg__7__362599ddb65046aeb3c73a376d099366.jpg,https://bitis.com.vn/products/sandals-biti-s-nu-mau-trang-bpw008188trg
